序号,代码,名称
"1","T000100030","白芷"
"2","T000100043","北柴胡"
"3","T000100057","薄荷"
"4","T000100060","苍耳子"
"5","T000100073","蝉蜕"
"6","T000100078","炒苍耳子"
"7","T000100098","炒蔓荆子"
"8","T000100099","炒牛蒡子"
"9","T000100141","醋北柴胡"
"10","T000100150","醋南柴胡"
"11","T000100161","大豆黄卷"
"12","T000100170","淡豆豉"
"13","T000100180","倒扣草"
"14","T000100190","灯盏细辛（灯盏花）"
"15","T000100232","鹅不食草"
"16","T000100239","防风"
"17","T000100246","粉葛"
"18","T000100271","浮萍"
"19","T000100284","藁本片"
"20","T000100286","葛根"
"21","T000100287","葛花"
"22","T000100319","桂枝"
"23","T000100320","谷精草"
"24","T000100396","姜皮"
"25","T000100417","荆芥"
"26","T000100418","荆芥穗"
"27","T000100467","菊花"
"28","T000100496","辽藁本片"
"29","T000100533","麻黄"
"30","T000100561","蜜麻黄"
"31","T000100565","蜜前胡"
"32","T000100585","木贼"
"33","T000100587","南柴胡"
"34","T000100595","牛蒡子"
"35","T000100614","羌活"
"36","T000100616","前胡"
"37","T000100655","桑叶"
"38","T000100683","生姜"
"39","T000100685","升麻"
"40","T000100753","蔓荆子"
"41","T000100778","香薷"
"42","T000100796","西河柳"
"43","T000100799","辛夷"
"44","T000100804","细辛"
"45","T000100831","芫荽子"
"46","T000100832","岩陀"
"47","T000100853","一枝黄花"
"48","T000100921","紫苏叶"
"49","T000107648","三余神曲"
"50","T000200016","败酱草"
"51","T000200018","白蔹"
"52","T000200025","白头翁"
"53","T000200026","白薇"
"54","T000200027","白鲜皮"
"55","T000200028","白药子"
"56","T000200029","白英"
"57","T000200038","半边莲"
"58","T000200039","板蓝根"
"59","T000200041","半枝莲"
"60","T000200044","北豆根"
"61","T000200045","北寒水石"
"62","T000200059","布渣叶"
"63","T000200065","草乌叶"
"64","T000200094","炒决明子"
"65","T000200110","炒栀子"
"66","T000200116","赤芍"
"67","T000200119","重楼"
"68","T000200121","臭灵丹草"
"69","T000200130","川射干"
"70","T000200131","穿心莲"
"71","T000200134","椿皮"
"72","T000200175","当药"
"73","T000200178","淡竹叶"
"74","T000200182","大青盐"
"75","T000200183","大青叶"
"76","T000200195","地骨皮"
"77","T000200196","地黄"
"78","T000200197","地锦草"
"79","T000200207","冬凌草"
"80","T000200211","煅蛤壳"
"81","T000200217","煅石膏"
"82","T000200238","翻白草"
"83","T000200243","飞扬草"
"84","T000200259","麸炒椿皮"
"85","T000200265","浮海石"
"86","T000200272","芙蓉叶"
"87","T000200273","浮石"
"88","T000200277","杠板归"
"89","T000200283","干鱼腥草"
"90","T000200290","功劳木"
"91","T000200298","瓜蒌皮"
"92","T000200302","光慈姑"
"93","T000200304","广豆根"
"94","T000200308","关黄柏"
"95","T000200309","关黄柏炭"
"96","T000200333","荷梗"
"97","T000200342","荷叶"
"98","T000200350","红花龙胆"
"99","T000200364","黄柏"
"100","T000200365","黄柏炭"
"101","T000200367","黄连片"
"102","T000200369","黄芩片"
"103","T000200372","黄藤"
"104","T000200379","虎耳草"
"105","T000200380","胡黄连"
"106","T000200411","鸡骨草"
"107","T000200413","锦灯笼"
"108","T000200423","筋骨草"
"109","T000200424","金果榄"
"110","T000200426","金龙胆草"
"111","T000200430","金荞麦"
"112","T000200433","金银花"
"113","T000200436","救必应"
"114","T000200440","酒大黄"
"115","T000200445","酒黄连"
"116","T000200446","酒黄芩"
"117","T000200464","决明子"
"118","T000200472","苦地丁"
"119","T000200476","苦木"
"120","T000200478","苦参"
"121","T000200482","蜡梅花"
"122","T000200484","莨菪"
"123","T000200487","了哥王"
"124","T000200491","连翘"
"125","T000200495","蓼大青叶"
"126","T000200503","六月雪"
"127","T000200506","龙胆"
"128","T000200508","龙葵"
"129","T000200512","漏芦"
"130","T000200514","芦根"
"131","T000200530","马勃"
"132","T000200531","马齿苋"
"133","T000200537","玛瑙"
"134","T000200543","毛诃子"
"135","T000200562","密蒙花"
"136","T000200574","木鳖子仁"
"137","T000200575","木鳖子霜"
"138","T000200576","牡丹皮"
"139","T000200580","木蝴蝶"
"140","T000200582","木棉花"
"141","T000200586","南板蓝根"
"142","T000200588","南寒水石"
"143","T000200594","内蒙紫草"
"144","T000200610","蒲公英"
"145","T000200619","千里光"
"146","T000200624","青黛"
"147","T000200627","青果"
"148","T000200628","青蒿"
"149","T000200629","苘麻子"
"150","T000200632","青葙子"
"151","T000200633","青叶胆"
"152","T000200635","秦皮"
"153","T000200638","拳参"
"154","T000200641","忍冬藤"
"155","T000200657","三颗针"
"156","T000200661","山慈菇"
"157","T000200662","山豆根"
"158","T000200666","山香圆叶"
"159","T000200669","山银花"
"160","T000200675","射干"
"161","T000200679","生半夏"
"162","T000200689","生石膏"
"163","T000200702","石莲子"
"164","T000200711","水飞蓟"
"165","T000200716","四季青"
"166","T000200734","天花粉"
"167","T000200735","天葵子"
"168","T000200747","土茯苓"
"169","T000200754","瓦松"
"170","T000200756","委陵菜"
"171","T000200761","无花果"
"172","T000200775","夏枯草"
"173","T000200781","鲜芦根"
"174","T000200785","鲜鱼腥草"
"175","T000200794","西瓜皮"
"176","T000200795","西瓜霜"
"177","T000200798","新疆紫草"
"178","T000200802","西青果"
"179","T000200807","玄精石"
"180","T000200809","玄参"
"181","T000200816","鸦胆子"
"182","T000200824","盐关黄柏"
"183","T000200825","盐黄柏"
"184","T000200839","盐知母"
"185","T000200840","鸭跖草"
"186","T000200841","野菊花"
"187","T000200845","银柴胡"
"188","T000200859","余甘子"
"189","T000200868","禹州漏芦"
"190","T000200891","知母"
"191","T000200899","栀子"
"192","T000200900","肿节风"
"193","T000200902","猪胆粉"
"194","T000200908","朱砂根"
"195","T000200915","紫花地丁"
"196","T000200917","紫萁贯众"
"197","T000200935","火炭母"
"198","T000200958","葫芦茶"
"199","T000201058","铁苋菜"
"200","T000201162","硼砂"
"201","T000201182","金莲花"
"202","T000201354","栀子炭"
"203","T000201558","三叉苦"
"204","T000201793","菥蓂"
"205","T000201815","红根草"
"206","T000201861","雪莲花"
"207","T000201881","阴地蕨"
"208","T000201952","百蕊草"
"209","T000201963","猕猴桃根"
"210","T000201972","爵床"
"211","T000201992","炒赤芍"
"212","T000202092","苦玄参"
"213","T000202395","水牛角浓缩粉"
"214","T000202765","体外培育牛黄"
"215","T000202916","翼首草"
"216","T000202918","高山辣根菜"
"217","T000202920","苣荬菜"
"218","T000202921","洪连"
"219","T000203653","一枝蒿"
"220","T000203846","毛莲菜"
"221","T000203847","肋柱花"
"222","T000203849","蓝盆花"
"223","T000205340","宽筋藤"
"224","T000207484","展毛翠雀(夏刚巴)"
"225","T000300006","巴豆霜"
"226","T000300054","蓖麻子"
"227","T000300088","炒火麻仁"
"228","T000300100","炒牵牛子"
"229","T000300111","炒紫苏子"
"230","T000300144","醋甘遂"
"231","T000300147","醋京大戟"
"232","T000300155","醋商陆"
"233","T000300160","醋芫花"
"234","T000300164","大黄"
"235","T000300242","番泻叶"
"236","T000300340","何首乌"
"237","T000300346","红大戟"
"238","T000300385","火麻仁"
"239","T000300416","京大戟"
"240","T000300515","芦荟"
"241","T000300538","芒硝"
"242","T000300617","千金子"
"243","T000300618","千金子霜"
"244","T000300621","牵牛子"
"245","T000300676","生巴豆"
"246","T000300682","生甘遂"
"247","T000300688","生商陆"
"248","T000300709","熟大黄"
"249","T000300808","玄明粉"
"250","T000300817","亚麻子"
"251","T000300856","芫花"
"252","T000300863","郁李仁"
"253","T000300922","紫苏子"
"254","T000302001","清宁片"
"255","T000302393","硝石(火硝)"
"256","T000400013","白花菜子"
"257","T000400034","八角枫"
"258","T000400062","蚕沙"
"259","T000400122","臭梧桐叶"
"260","T000400129","穿山龙"
"261","T000400193","地枫皮"
"262","T000400199","丁公藤"
"263","T000400228","独活"
"264","T000400229","独一味"
"265","T000400240","防己"
"266","T000400252","凤尾草"
"267","T000400253","凤仙透骨草"
"268","T000400293","狗脊"
"269","T000400321","过岗龙"
"270","T000400324","海风藤"
"271","T000400329","海桐皮"
"272","T000400383","槲寄生"
"273","T000400428","金钱白花蛇"
"274","T000400431","金铁锁"
"275","T000400451","酒蕲蛇"
"276","T000400453","酒乌梢蛇"
"277","T000400455","酒豨莶草"
"278","T000400486","老鹳草"
"279","T000400519","路路通"
"280","T000400523","络石藤"
"281","T000400526","鹿衔草"
"282","T000400579","木瓜"
"283","T000400593","闹羊花"
"284","T000400620","千年健"
"285","T000400626","青风藤"
"286","T000400634","秦艽"
"287","T000400636","蕲蛇"
"288","T000400637","蕲蛇肉"
"289","T000400652","桑寄生"
"290","T000400680","生草乌"
"291","T000400681","生川乌"
"292","T000400691","伸筋草"
"293","T000400705","石楠叶"
"294","T000400725","烫狗脊"
"295","T000400738","天山雪莲"
"296","T000400757","威灵仙"
"297","T000400762","五加皮"
"298","T000400769","乌梢蛇"
"299","T000400770","乌梢蛇肉"
"300","T000400777","香加皮"
"301","T000400787","小驳骨"
"302","T000400792","夏天无"
"303","T000400803","豨莶草"
"304","T000400812","雪上一枝蒿"
"305","T000400814","寻骨风"
"306","T000400815","徐长卿"
"307","T000400843","野木瓜"
"308","T000400855","油松节"
"309","T000400881","制草乌"
"310","T000400882","制川乌"
"311","T000400904","竹节香附"
"312","T000400928","祖司麻"
"313","T000400948","两面针"
"314","T000401164","浙桐皮"
"315","T000401441","羊耳菊"
"316","T000402034","接骨木"
"317","T000402038","川桐皮"
"318","T000402158","汉桃叶"
"319","T000402924","三分三"
"320","T000403313","两头尖"
"321","T000500061","苍术"
"322","T000500063","草豆蔻"
"323","T000500064","草果仁"
"324","T000500208","豆蔻"
"325","T000500258","麸炒苍术"
"326","T000500305","广藿香"
"327","T000500355","厚朴"
"328","T000500356","厚朴花"
"329","T000500386","藿香"
"330","T000500392","姜草果仁"
"331","T000500393","姜厚朴"
"332","T000500606","佩兰"
"333","T000500672","砂仁"
"334","T000600042","菝葜"
"335","T000600049","萹蓄"
"336","T000600114","车前草"
"337","T000600115","车前子"
"338","T000600118","赤小豆"
"339","T000600125","川木通"
"340","T000600133","垂盆草"
"341","T000600162","大腹毛"
"342","T000600163","大腹皮"
"343","T000600188","灯心草"
"344","T000600189","灯心炭"
"345","T000600192","地耳草(田基黄)"
"346","T000600194","地肤子"
"347","T000600204","冬瓜皮"
"348","T000600205","冬瓜子"
"349","T000600206","冬葵果"
"350","T000600245","粉萆薢"
"351","T000600262","麸炒薏苡仁"
"352","T000600266","茯苓"
"353","T000600267","茯苓皮"
"354","T000600306","广金钱草"
"355","T000600311","贯叶金丝桃"
"356","T000600325","海金沙"
"357","T000600336","黑豆"
"358","T000600371","黄蜀葵花"
"359","T000600376","滑石"
"360","T000600377","滑石粉"
"361","T000600389","虎杖"
"362","T000600429","金钱草"
"363","T000600460","积雪草"
"364","T000600468","菊苣"
"365","T000600490","连钱草"
"366","T000600511","蝼蛄"
"367","T000600550","绵萆薢"
"368","T000600566","蜜桑白皮"
"369","T000600583","木通"
"370","T000600640","瞿麦"
"371","T000600650","三白草"
"372","T000600651","桑白皮"
"373","T000600706","石韦"
"374","T000600707","石燕"
"375","T000600744","通草"
"376","T000600791","小通草"
"377","T000600820","盐车前子"
"378","T000600838","盐泽泻"
"379","T000600846","茵陈"
"380","T000600852","薏苡仁"
"381","T000600864","玉米须"
"382","T000600865","云芝"
"383","T000600873","泽泻"
"384","T000600887","枳椇子"
"385","T000600905","猪苓"
"386","T000600910","猪殃殃"
"387","T000601091","石苇"
"388","T000601222","葫芦"
"389","T000601321","炒冬瓜子"
"390","T000601991","炒车前子"
"391","T000602348","苦豆草"
"392","T000700014","白胡椒"
"393","T000700035","八角茴香"
"394","T000700050","荜茇"
"395","T000700051","荜澄茄"
"396","T000700087","炒花椒"
"397","T000700172","淡附片"
"398","T000700200","丁香"
"399","T000700270","附片"
"400","T000700278","干姜"
"401","T000700285","高良姜"
"402","T000700337","黑胡椒"
"403","T000700362","花椒"
"404","T000700382","胡椒"
"405","T000700397","姜炭"
"406","T000700481","辣椒"
"407","T000700603","炮附片"
"408","T000700774","吴茱萸"
"409","T000700788","小茴香"
"410","T000700835","盐小茴香"
"411","T000700895","制吴茱萸"
"412","T000702815","藏菖蒲"
"413","T000703661","丁香油"
"414","T000800020","白梅花"
"415","T000800081","炒川楝子"
"416","T000800093","炒九香虫"
"417","T000800101","炒桑枝"
"418","T000800112","陈皮"
"419","T000800113","沉香"
"420","T000800124","川楝子"
"421","T000800126","川木香"
"422","T000800152","醋青皮"
"423","T000800158","醋香附"
"424","T000800166","代代花"
"425","T000800179","刀豆"
"426","T000800255","佛手"
"427","T000800256","佛手花"
"428","T000800263","麸炒枳壳"
"429","T000800264","麸炒枳实"
"430","T000800281","甘松"
"431","T000800291","狗宝"
"432","T000800363","化橘红"
"433","T000800370","黄山药"
"434","T000800381","茴香"
"435","T000800395","姜黄连"
"436","T000800398","降香"
"437","T000800448","九里香"
"438","T000800454","九香虫"
"439","T000800465","橘核"
"440","T000800466","橘红"
"441","T000800469","橘络"
"442","T000800475","苦楝子"
"443","T000800504","荔枝核"
"444","T000800547","玫瑰花"
"445","T000800548","梅花"
"446","T000800584","木香"
"447","T000800592","南五味子根"
"448","T000800631","青皮"
"449","T000800656","桑枝"
"450","T000800696","柿蒂"
"451","T000800722","娑罗子"
"452","T000800728","檀香"
"453","T000800749","土木香"
"454","T000800755","煨川木香"
"455","T000800758","煨木香"
"456","T000800773","乌药"
"457","T000800776","香附"
"458","T000800779","香橼"
"459","T000800793","薤白"
"460","T000800829","盐橘核"
"461","T000800860","萸黄连"
"462","T000800867","预知子"
"463","T000800888","枳壳"
"464","T000800892","枳实"
"465","T000800898","蜘蛛香"
"466","T000800920","紫苏梗"
"467","T000801337","橘叶"
"468","T000802008","沉香曲"
"469","T000802690","广陈皮"
"470","T000806396","盐荔枝核"
"471","T000900005","阿魏"
"472","T000900082","炒稻芽"
"473","T000900084","炒谷芽"
"474","T000900092","炒鸡内金"
"475","T000900096","炒莱菔子"
"476","T000900097","炒麦芽"
"477","T000900103","炒山楂"
"478","T000900146","醋鸡内金"
"479","T000900181","稻芽"
"480","T000900323","谷芽"
"481","T000900347","红豆蔻"
"482","T000900400","建曲"
"483","T000900401","焦槟榔"
"484","T000900402","焦稻芽"
"485","T000900403","焦谷芽"
"486","T000900404","焦麦芽"
"487","T000900405","焦山楂"
"488","T000900414","鸡内金"
"489","T000900421","净山楂"
"490","T000900434","鸡矢藤"
"491","T000900480","莱菔子"
"492","T000900536","麦芽"
"493","T000900665","山柰"
"494","T000900771","梧桐子"
"495","T000901541","焦神曲"
"496","T000901627","六神曲"
"497","T000903848","青皮炭"
"498","T001000055","槟榔"
"499","T001000077","炒槟榔"
"500","T001000104","炒使君子仁"
"501","T001000244","榧子"
"502","T001000339","鹤虱"
"503","T001000474","苦楝皮"
"504","T001000488","雷丸"
"505","T001000551","绵马贯众"
"506","T001000589","南鹤虱"
"507","T001000700","使君子"
"508","T001000701","使君子仁"
"509","T001000978","鹤草芽"
"510","T001100003","艾叶"
"511","T001100009","百草霜"
"512","T001100015","白及"
"513","T001100019","白茅根"
"514","T001100066","侧柏炭"
"515","T001100067","侧柏叶"
"516","T001100086","炒槐花"
"517","T001100140","醋艾炭"
"518","T001100165","大黄炭"
"519","T001100168","大蓟"
"520","T001100169","大蓟炭"
"521","T001100185","大叶紫珠"
"522","T001100201","地榆"
"523","T001100202","地榆炭"
"524","T001100212","煅花蕊石"
"525","T001100220","断血流"
"526","T001100235","儿茶"
"527","T001100268","伏龙肝"
"528","T001100303","广东紫珠"
"529","T001100343","荷叶炭"
"530","T001100358","槐花"
"531","T001100359","槐花炭"
"532","T001100360","槐角"
"533","T001100361","槐米"
"534","T001100374","花蕊石"
"535","T001100406","焦栀子"
"536","T001100409","鸡冠花"
"537","T001100410","鸡冠花炭"
"538","T001100419","荆芥穗炭"
"539","T001100420","荆芥炭"
"540","T001100422","景天三七"
"541","T001100462","卷柏"
"542","T001100463","卷柏炭"
"543","T001100489","莲房炭"
"544","T001100522","裸花紫珠"
"545","T001100542","茅根炭"
"546","T001100552","绵马贯众炭"
"547","T001100558","蜜槐角"
"548","T001100571","墨旱莲"
"549","T001100600","藕节"
"550","T001100601","藕节炭"
"551","T001100604","炮姜"
"552","T001100611","蒲黄炭"
"553","T001100612","茜草"
"554","T001100613","茜草炭"
"555","T001100659","三七粉"
"556","T001100687","蒲黄"
"557","T001100694","蓍草"
"558","T001100717","松花粉"
"559","T001100780","仙鹤草"
"560","T001100789","小蓟"
"561","T001100790","小蓟炭"
"562","T001100811","血竭"
"563","T001100813","血余炭"
"564","T001100909","苎麻根"
"565","T001100924","紫珠叶"
"566","T001100925","棕榈"
"567","T001100926","棕榈炭"
"568","T001100927","棕榈子"
"569","T001100945","生地黄炭(生地炭)"
"570","T001101628","黄芩炭"
"571","T001101654","莲房"
"572","T001102082","三七"
"573","T001102680","虫白蜡"
"574","T001102923","亚乎奴"
"575","T001103844","蒙酸模"
"576","T001103845","多叶棘豆"
"577","T001104689","紫金龙粉"
"578","T001200046","北刘寄奴"
"579","T001200070","𬊤山桃仁"
"580","T001200072","𬊤桃仁"
"581","T001200080","炒茺蔚子"
"582","T001200102","炒山桃仁"
"583","T001200106","炒桃仁"
"584","T001200108","炒王不留行"
"585","T001200120","茺蔚子"
"586","T001200127","川牛膝"
"587","T001200128","穿山甲"
"588","T001200132","川芎"
"589","T001200143","醋莪术"
"590","T001200149","醋没药"
"591","T001200153","醋乳香"
"592","T001200154","醋三棱"
"593","T001200156","醋山甲"
"594","T001200159","醋延胡索"
"595","T001200177","丹参"
"596","T001200184","大血藤"
